end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
1768885200,,,,,,0.05,0.0,0.06,0.0,3.0
1768971600,,,,,,0.05,0.0,0.06,0.0,3.0
1769058000,,,,,,0.05,0.0,0.06,0.0,3.0
1769144400,,,,,,0.05,0.0,0.06,0.0,3.0
1769230800,,,,,,0.05,0.0,0.06,0.0,3.0
1769317200,,,,,,0.05,0.0,0.06,0.0,3.0
1769403600,,,,,,0.05,0.0,0.06,0.0,3.0
1769490000,,,,,,0.05,0.0,0.06,0.0,3.0
1769576400,,,,,,0.05,0.0,0.06,0.0,3.0
1769662800,,,,,,0.05,0.0,0.03,0.0,3.0
1769749200,,,,,,0.05,0.0,0.03,0.0,3.0
1769835600,,,,,,0.05,0.0,0.03,0.0,3.0
1769922000,,,,,,0.05,0.0,0.03,0.0,3.0
1770008400,,,,,,0.05,0.0,0.03,0.0,3.0
1770094800,,,,,,0.05,0.0,0.03,0.0,3.0
1770181200,,,,,,0.05,0.0,0.02,0.0,3.0
1770267600,,,,,,0.05,0.0,0.02,0.0,3.0
1770354000,,,,,,0.05,0.0,0.03,0.0,3.0
1770440400,,,,,,0.05,0.0,0.03,0.0,3.0
1770526800,,,,,,0.05,0.0,0.03,0.0,3.0
1770613200,,,,,,0.05,0.0,0.03,0.0,3.0
1770699600,,,,,,0.05,0.0,0.03,0.0,3.0
1770958800,,,,,,0.05,0.0,0.02,0.0,3.0
1771045200,,,,,,0.05,0.0,0.02,0.0,3.0
1771390800,,,,,,0.05,0.0,0.02,0.0,3.0
1771477200,,,,,,0.05,0.0,0.02,0.0,3.0
1771563600,,,,,,0.05,0.0,0.02,0.0,3.0
1771909200,,,,,,0.05,0.0,0.02,0.0,3.0
1771995600,0.02,0.02,0.02,0.02,0.02,0.05,0.0,0.03,125.0,128.0
1772082000,,,,,,0.02,0.0,0.03,0.0,128.0
1772254800,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.08,3.0,128.0
1772341200,,,,,,0.03,0.0,0.08,0.0,128.0
1772427600,,,,,,0.03,0.0,0.07,0.0,128.0
1772514000,,,,,,0.03,0.0,0.06,0.0,128.0
1772600400,,,,,,0.03,0.0,0.08,0.0,128.0
1772686800,,,,,,0.03,0.0,0.08,0.0,128.0
1772773200,,,,,,0.03,0.0,0.32,0.0,128.0
1773460800,,,,,,0.03,0.0,0.61,0.0,128.0
1773547200,0.61,0.61,0.61,0.61,0.61,0.03,0.02,0.6,3.0,130.0
1773633600,,,,,,0.61,0.02,0.65,0.0,130.0
1773720000,0.34,0.34,0.34,0.34,0.34,0.61,0.03,0.64,1.0,131.0
1773806400,0.34,0.65,0.34,0.65,0.5133,0.34,0.03,0.64,6.0,132.0
1773892800,,,,,,0.65,0.02,0.65,0.0,132.0
1773979200,,,,,,0.65,0.01,0.06,0.0,132.0
1774065600,0.01,0.01,0.01,0.01,0.01,0.65,0.01,0.06,1.0,132.0
1774238400,0.06,0.1,0.06,0.1,0.09,0.01,0.02,0.11,4.0,134.0
1774324800,0.11,0.12,0.02,0.12,0.0777,0.1,0.12,0.21,13.0,134.0
1774411200,0.03,0.18,0.03,0.18,0.155,0.12,0.03,0.18,6.0,136.0
1774497600,0.03,0.03,0.03,0.03,0.03,0.18,0.03,0.2,77.0,208.0
1774584000,,,,,,0.03,0.01,0.21,0.0,208.0
1774670400,,,,,,0.03,0.01,0.21,0.0,208.0
1774756800,,,,,,0.03,0.01,0.21,0.0,208.0
1774929600,,,,,,0.03,0.01,0.17,0.0,208.0
1775188800,0.17,0.17,0.17,0.17,0.17,0.03,0.01,0.15,1.0,208.0
1775275200,0.16,0.16,0.02,0.02,0.09,0.17,0.02,0.08,2.0,209.0
1775361600,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.19,2.0,211.0
1775448000,0.19,0.19,0.19,0.19,0.19,0.02,0.01,0.2,1.0,210.0
1775534400,0.2,0.2,0.2,0.2,0.2,0.19,0.1,0.2,4.0,214.0
1775620800,0.18,0.2,0.11,0.19,0.1706,0.2,0.03,0.19,18.0,223.0
1775707200,0.19,0.2,0.09,0.09,0.1742,0.19,0.06,0.09,24.0,247.0
1775793600,0.09,0.1,0.04,0.04,0.0785,0.09,0.03,0.1,47.0,272.0
1775880000,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.1,24.0,248.0
1775966400,0.1,0.1,0.03,0.03,0.065,0.03,0.03,0.1,2.0,248.0
1776139200,,,,,,0.03,0.03,0.1,0.0,248.0
1776225600,,,,,,0.03,0.03,0.1,0.0,248.0
1776312000,,,,,,0.03,0.01,0.2,0.0,248.0
1776398400,0.11,0.11,0.11,0.11,0.11,0.03,0.02,0.11,58.0,306.0
1776484800,,,,,,0.11,0.02,0.11,0.0,306.0
1776571200,,,,,,0.11,0.02,0.11,0.0,306.0
1776744000,,,,,,0.11,0.02,0.1,0.0,306.0
1776916800,,,,,,0.11,0.02,0.08,0.0,306.0
1777003200,,,,,,0.11,0.02,0.08,0.0,306.0
1777262400,0.02,0.02,0.02,0.02,0.02,0.11,0.02,0.08,128.0,178.0
1777435200,,,,,,0.02,0.02,0.08,0.0,178.0
1777521600,,,,,,0.02,0.02,0.04,0.0,178.0
1777608000,,,,,,0.02,0.01,0.05,0.0,178.0
1777694400,0.05,0.05,0.05,0.05,0.05,0.02,0.01,0.05,3.0,181.0
1777780800,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.05,136.0,315.0
1777867200,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.05,3.0,315.0
1778126400,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.05,6.0,321.0
1778212800,,,,,,0.05,0.01,0.04,0.0,321.0
1778731200,,,,,,0.05,0.02,0.04,0.0,321.0
1778904000,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.04,1.0,321.0
1779249600,,,,,,0.02,0.02,0.04,0.0,321.0
1779422400,,,,,,0.02,0.02,0.04,0.0,321.0
1779940800,0.04,0.04,0.02,0.02,0.03,0.02,0.02,0.04,20.0,318.0
1780200000,,,,,,0.02,0.02,0.04,0.0,318.0
1780545600,,,,,,0.02,0.02,0.04,0.0,318.0
1780718400,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,20.0,318.0
1780804800,,,,,,0.02,0.02,0.04,0.0,318.0
1781928000,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,1.0,317.0
1782014400,,,,,,0.02,0.02,0.04,0.0,317.0
1782446400,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.04,113.0,317.0
1782964800,,,,,,0.02,0.01,0.04,0.0,317.0
1783051200,,,,,,0.02,0.01,0.04,0.0,317.0
1783137600,,,,,,0.02,0.01,0.04,0.0,317.0
1783224000,,,,,,0.02,0.01,0.04,0.0,317.0
1783310400,,,,,,0.02,0.01,0.04,0.0,317.0
1783396800,,,,,,0.02,0.01,0.04,0.0,317.0
1783483200,,,,,,0.02,0.01,0.02,0.0,317.0
1783569600,,,,,,0.02,0.01,0.02,0.0,317.0
1783656000,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.02,540.0,850.0
1783828800,,,,,,0.01,0.0,0.02,0.0,850.0
1783915200,,,,,,0.01,0.0,0.02,0.0,850.0
1784001600,,,,,,0.01,0.0,0.02,0.0,850.0
1784088000,,,,,,0.01,0.01,0.02,0.0,850.0
1784174400,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,6.0,856.0
1784260800,,,,,,0.01,0.0,0.01,0.0,856.0
1784347200,,,,,,0.01,0.0,0.01,0.0,856.0
1784433600,,,,,,0.01,0.0,0.01,0.0,856.0
1784520000,,,,,,0.01,0.0,0.01,0.0,856.0
1784606400,,,,,,0.01,0.0,0.01,0.0,856.0
1784692800,,,,,,0.01,0.0,0.01,0.0,856.0
1784779200,,,,,,0.01,0.0,0.01,0.0,856.0
1784865600,,,,,,0.01,0.0,0.02,0.0,856.0
1785038400,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.02,27.06,882.06
1785211200,,,,,,0.02,0.0,0.02,0.0,882.06
1785297600,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,3.0,885.06
1785384000,,,,,,0.02,0.0,0.01,0.0,885.06
1785470400,,,,,,0.02,0.0,0.01,0.0,885.06
1785556800,,,,,,0.02,0.0,0.01,0.0,885.06
1785643200,,,,,,0.02,0.0,0.01,0.0,885.06
1785729600,,,,,,0.02,0.0,0.01,0.0,885.06
1785816000,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.01,53.33,938.39
1785902400,,,,,,0.01,0.0,0.01,0.0,938.39
1785988800,,,,,,0.01,0.0,0.01,0.0,938.39
1786075200,,,,,,0.01,0.0,0.01,0.0,938.39
1786161600,,,,,,0.01,0.0,0.01,0.0,938.39
1786248000,,,,,,0.01,0.0,0.01,0.0,938.39
1786334400,,,,,,0.01,0.0,0.01,0.0,938.39
1786420800,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,100.0,1038.39
1786507200,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,33.33,1071.72
1786593600,,,,,,0.01,0.0,0.01,0.0,1071.72
1786680000,,,,,,0.01,0.0,0.01,0.0,1071.72
1786766400,,,,,,0.01,0.0,0.01,0.0,1071.72
1786852800,,,,,,0.01,0.0,0.01,0.0,1071.72
1786939200,,,,,,0.01,0.0,0.01,0.0,1071.72
1787025600,,,,,,0.01,0.0,0.01,0.0,1071.72
1787112000,,,,,,0.01,0.0,0.01,0.0,1071.72
1787198400,,,,,,0.01,0.0,0.01,0.0,1071.72
1787284800,,,,,,0.01,0.0,0.01,0.0,1071.72
1787371200,,,,,,0.01,0.0,0.01,0.0,1071.72
1787630400,,,,,,0.01,0.0,0.01,0.0,1071.72
1787716800,,,,,,0.01,0.0,0.01,0.0,1071.72
1787803200,,,,,,0.01,0.0,0.01,0.0,1071.72
1787889600,,,,,,0.01,0.0,0.01,0.0,1071.72
1787976000,,,,,,0.01,0.0,0.01,0.0,1071.72
1788148800,,,,,,0.01,0.0,0.01,0.0,1071.72
1788235200,,,,,,0.01,0.0,0.01,0.0,1071.72
1788321600,,,,,,0.01,0.0,0.01,0.0,1071.72
1788408000,0.01,0.11,0.01,0.01,0.045,0.01,0.0,0.01,99807.8,55960.48
1788494400,,,,,,0.01,0.0,0.01,0.0,55960.48
1788580800,0.01,0.04,0.01,0.01,0.0246,0.01,0.0,0.01,296371.69,207990.11
1788667200,,,,,,0.01,0.0,0.01,0.0,207990.11
1788926400,,,,,,0.01,0.0,0.01,0.0,207990.11
1789012800,,,,,,0.01,0.0,0.01,0.0,207990.11
1789099200,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,3.0,207993.11
1789185600,,,,,,0.01,0.0,0.01,0.0,207993.11
1789358400,,,,,,0.01,0.0,0.01,0.0,207993.11
1789444800,,,,,,0.01,0.0,0.01,0.0,207993.11
1789531200,,,,,,0.01,0.0,0.01,0.0,207993.11
